id,Name,Image URL,Caption,Link,Trivia 1,Trivia 2,Trivia 3
250,Cave of the Three Eyed Raven,cave.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Cave_of_the_Three-Eyed_Raven,"Where were Bran Stark, Hodor, and Meera and Jojen Reed attacked by wights?",Bran was guided to this place north of the wall after warging with a weirwood tree.,Some of the last Children of the Forest live here.
187,Craster's Keep,craster.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Craster's_Keep,Where do Karl and Rast lead a mutiny against the Night's Watch,Where was Jeor Mormont killed?,Where does a person who has many daughter-wives live?
188,Fist of the First Men,fist.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Fist_of_the_First_Men,Where did Jon Snow find a cache of Dragonglass weapons,This ancient ring fort was a useful campsite for the Night's Watch in wildling territory.,This hill provided a tactical vantage point to see the surrounding area and was a common fallback point for the rangers from the Night's Watch.
249,Hardhome,hardhome.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Hardhome,Where is The Freefolk's most permanent settlement?,Where is the first village that was invaded by the White Walkers and wights?,Where did many of the surviving Freefolk from the Battle of Castle Black flee to after escaping capture by Stannis?
248,The Dreadfort,dreadfort.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/The_Dreadfort,Where is the ancestral home of House Bolton?,Where would you find the flag of the flayed man flying?,Where did Theon become Reek?
148,Moat Cailin,moatcailin.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Moat_Cailin,Where is the long abandoned fortress that sits on The Neck and is a gateway to the North?,Where did Ramsay Bolton slaughter the Ironborn after promising them safe passage back to The Iron Islands?,This decrepit fortress built by the First Men still serves as a lynchpin in the defense of The North from southern invasion.
159,Winterfell,winterfell.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Winterfell,Where is the ancestral seat of House Stark,Where is Bran pushed from a tower?,Where does The Battle of the Bastards take place?
234,Pyke,pyke.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Pyke_(castle),Where is the capital of The Iron Islands,Where is Theon Greyjoy from?,Where would you most avoid if you were scared of rope bridges?
132,The Eyrie,eyrie.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/The_Eyrie,Where is the seat of house Arryn?,Where might someone be thrown out the Moon Door?,Where would you find Mord?
131,The Bloody Gate,bloodygate.jpg,Game of Thrones Wiki,https://gameofthrones.fandom.com/wiki/Bloody_Gate,Where would you find the entrance to The Vale?,Where do Arya Stark and The Hound learn about Lysa Arryn's death?,This Castle and gateway to the Vale is captained by Ser Donnel Waynwood
